datestop=5202014, pct=73, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=BROOKLYN
datestop=5132014, pct=107, crimsusp=ROBBERY, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5072014, pct=69, crimsusp=FEL, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=, city=BROOKLYN
datestop=5242014, pct=20, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=30-39, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=MANHATTAN
datestop=5122014, pct=102, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BR, eyecolor=BR, build=M, premname=PVT HOUSE, city=QUEENS
datestop=5232014, pct=9, crimsusp=MISD, typeofid=V, arstmade=Y, offunif=Y, frisked=Y, searched=Y, contrabn=Y, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=ROOF TOP LANDING, city=MANHATTAN
datestop=5012014, pct=49, crimsusp=MISD, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=20-29, htrange=6'0''- 6'5'', weightrange=160-169, haircolor=BR, eyecolor=GR, build=T, premname=STREET, city=BRONX
datestop=5272014, pct=106, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=6'0''- 6'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5192014, pct=7, crimsusp=AGG HARASS, typeofid=O, arstmade=Y, offunif=Y, frisked=N, searched=Y, contrabn=N, sex=F, race=Z, agerange=20-29, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BK, eyecolor=BK, build=T, premname=12 HALLWAY, city=MANHATTAN
datestop=5122014, pct=120, crimsusp=ROBBERY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=STATEN ISLAND
datestop=5142014, pct=48, crimsusp=CPCS, typeofid=P, arstmade=Y, offunif=Y, frisked=Y, searched=Y, contrabn=Y, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=200-224, haircolor=BK, eyecolor=BR, build=H, premname=STAIRWAY, city=BRONX
datestop=5122014, pct=105, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=PUBLIC STREET, city=QUEENS
datestop=5182014, pct=122, crimsusp=BURG, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BK, eyecolor=Z, build=M, premname=STREET, city=STATEN ISLAND
datestop=5072014, pct=121, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=STATEN ISLAND
datestop=5262014, pct=120, crimsusp=GLA - CPSP, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=B, agerange=50+, htrange=6'0''- 6'5'', weightrange=200-224, haircolor=BR, eyecolor=BR, build=T, premname=STREET, city=STATEN ISLAND
datestop=5202014, pct=73, crimsusp=FEL, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=LOBBY, city=BROOKLYN
datestop=5242014, pct=115, crimsusp=FELONY, typeofid=V, arstmade=Y, offunif=Y, frisked=Y, searched=Y, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'0''- 5'5'', weightrange=150-159, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5172014, pct=106, crimsusp=FELONY, typeofid=O, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=30-39, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=MENS SHELTER, city=QUEENS
datestop=5072014, pct=121, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=20-29, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=M, premname=, city=STATEN ISLAND
datestop=5232014, pct=102, crimsusp=BURGLARY, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=30-39, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=COMMUNITY DRIVEWAY, city=QUEENS
datestop=5272014, pct=105, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5242014, pct=49, crimsusp=MISDEMEANOR, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=200-224, haircolor=BK, eyecolor=BR, build=M, premname=6TH FLOOR HALLWAY, city=BRONX
datestop=5082014, pct=104, crimsusp=MISD, typeofid=P, arstmade=Y, offunif=Y, frisked=Y, searched=Y, contrabn=Y, sex=M, race=B, agerange=40-49, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=, city=QUEENS
datestop=5212014, pct=28, crimsusp=FEL, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=PUBLIC SIDEWALK, city=MANHATTAN
datestop=5312014, pct=41, crimsusp=CPW, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=Y, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=190-199, haircolor=BK, eyecolor=BR, build=T, premname=SIDEWALK, city=BRONX
datestop=5192014, pct=122, crimsusp=BURG, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=30-39, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BR, eyecolor=BR, build=M, premname=HOUSE OF PRAYER, city=STATEN ISLAND
datestop=5172014, pct=121, crimsusp=MISDEMEANOR, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'0''- 5'5'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=M, premname=PUBLIC SIDEWALK, city=STATEN ISLAND
datestop=5222014, pct=88, crimsusp=GRAND LARCENY AUTO, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=A, agerange=40-49, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5272014, pct=33, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=, city=MANHATTAN
datestop=5202014, pct=73, crimsusp=FEL, typeofid=R, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=, city=BROOKLYN
datestop=5312014, pct=109, crimsusp=GRAND LARCENY, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=30-39, htrange=5'5''- 5'11'', weightrange=190-199, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5192014, pct=120, crimsusp=ROBBERY, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=<20, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BL, eyecolor=BR, build=T, premname=C/O TWO STREETS, city=STATEN ISLAND
datestop=5212014, pct=78, crimsusp=PETIT LARCENY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=6'0''- 6'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=S/B PLATFORM, city=BROOKLYN
datestop=5102014, pct=88, crimsusp=GRAFFITI, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BR, eyecolor=BL, build=M, premname=PUBLIC STREET, city=BROOKLYN
datestop=5272014, pct=69, crimsusp=FEL, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'0''- 5'5'', weightrange=150-159, haircolor=BR, eyecolor=BR, build=M, premname=, city=BROOKLYN
datestop=5112014, pct=63, crimsusp=MISD, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=40-49, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BL, eyecolor=BL, build=T, premname=STREET, city=BROOKLYN
datestop=5092014, pct=104, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=20-29, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BK, eyecolor=BL, build=T, premname=STREET, city=QUEENS
datestop=5142014, pct=84, crimsusp=CRIMINAL TRESPASS, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=N, contrabn=Y, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=200-224, haircolor=BK, eyecolor=BR, build=H, premname=BUILDING, city=BROOKLYN
datestop=5192014, pct=106, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=A, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=RESIDENTIAL, city=QUEENS
datestop=5162014, pct=70, crimsusp=MIS/CPW, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BR, eyecolor=BR, build=T, premname=STREET, city=BROOKLYN
datestop=5142014, pct=113, crimsusp=MISDEMEANOR, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5212014, pct=50, crimsusp=MISD, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=BRONX
datestop=5272014, pct=75, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=40-49, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=HALLWAY, city=BROOKLYN
datestop=5152014, pct=47, crimsusp=MISD, typeofid=R, arstmade=Y, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=HALLWAY, city=BRONX
datestop=5202014, pct=73, crimsusp=FEL, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=BROOKLYN
datestop=5282014, pct=78, crimsusp=ASSAULT MISD, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5212014, pct=44, crimsusp=CPW, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=P, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=BRONX
datestop=5192014, pct=63, crimsusp=FELONY, typeofid=O, arstmade=Y, offunif=Y, frisked=N, searched=Y, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5242014, pct=122, crimsusp=LARC FROM AUTO, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'0''- 5'5'', weightrange=150-159, haircolor=BR, eyecolor=BR, build=T, premname=COMM, city=STATEN ISLAND
datestop=5292014, pct=121, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=STATEN ISLAND
datestop=5232014, pct=76, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=, city=BROOKLYN
datestop=5072014, pct=79, crimsusp=CPCS, typeofid=V, arstmade=Y, offunif=N, frisked=Y, searched=N, contrabn=Y, sex=M, race=B, agerange=40-49, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=BROOKLYN
datestop=5172014, pct=7, crimsusp=MISD, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=30-39, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BR, eyecolor=BR, build=T, premname=LOBBY, city=MANHATTAN
datestop=5072014, pct=67, crimsusp=M/V, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=F, race=B, agerange=<20, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=, city=BROOKLYN
datestop=5202014, pct=73, crimsusp=FEL, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=BROOKLYN
datestop=5272014, pct=106, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=QUEENS
datestop=5042014, pct=67, crimsusp=FEL, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=M, premname=, city=BROOKLYN
datestop=5192014, pct=106, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=A, agerange=<20, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5052014, pct=122, crimsusp=GLA, typeofid=V, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=F, race=W, agerange=20-29, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BR, eyecolor=BR, build=Z, premname=, city=STATEN ISLAND
datestop=5172014, pct=60, crimsusp=FEL, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=STAIRWELL, city=BROOKLYN
datestop=5212014, pct=78, crimsusp=PETIT LARCENY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=S/B PLATFORM, city=BROOKLYN
datestop=5162014, pct=102, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=40-49, htrange=5'0''- 5'5'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=QUEENS
datestop=5202014, pct=73, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=190-199, haircolor=BK, eyecolor=BR, build=T, premname=, city=BROOKLYN
